field,question,model_answer,keywords,difficulty,student_answer,score,label
DBMS,"in your own words, what is denormalization?",Denormalization is the process of adding redundant data to a normalized database to improve read performance.,"denormalization, redundant, performance, read",Hard,"basically speaking, Denormalization is the of adding redundant to a normalized database to improve performance.",88.0,Excellent
DBMS,Give a short note on: what is a transaction in DBMS,A transaction is a sequence of one or more operations executed as a single logical unit of work that either fully completes or fully fails.,"transaction, atomic, unit, operations",Medium,A transaction a or more executed as a logical either completes or fails.,50.0,Average
Data Structures,Explain: What is a linked list?,A linked list is a linear data structure where each element points to the next element using pointers instead of contiguous memory.,"linked, list, pointer, node",Hard,A linked list is a linear data structure where each element points to the next element using pointers instead of contiguous memory.,97.0,Excellent
Operating Systems,Give a short note on: what is a system call,A system call is the mechanism used by a program to request a service from the operating system's kernel.,"system, call, kernel, service",Medium,A system call refers to the mechanism used a program to request a service from the operating system's kernel.,76.0,Good
Data Structures,What is dynamic programming?,Dynamic programming is an optimization technique that solves complex problems by breaking them into overlapping subproblems and storing results to avoid recomputation.,"dynamic, programming, subproblems, memoization",Easy,"TO PUT IT SIMPLY, IS OPTIMIZATION TECHNIQUE SOLVES THEM OVERLAPPING SUBPROBLEMS AND AVOID DYNAMIC",56.0,Average
Operating Systems,"In your own words, what is virtual memory?",Virtual memory is a memory management technique that gives an application the impression of a large contiguous memory space using disk storage as an extension of RAM.,"virtual, memory, disk, ram",Hard,virtual that gives an application impression large contiguous space using disk as an extension virtual,63.0,Average
DBMS,Briefly explain what is the difference between DELETE and TRUNCATE?,"DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.","delete, truncate, rollback, rows",Medium,"um basically, DELETE removes rows one at a time and can be rolled while removes all rows at once and cannot be rolled back.",87.0,Excellent
OOP,"In your own words, what is an interface in OOP?",An interface is a contract that defines a set of methods a class must implement without providing the implementation itself.,"interface, contract, methods, implement",Easy,"HONESTLY, AN INTERFACE IS A CONTRACT WHICH DEFINES A SET METHODS A MUST IMPLEMENT WITHOUT PROVIDING IMPLEMENTATION ITSELF.",81.0,Good
Computer Networks,Give a short note on: what is the OSI model,The OSI model is a conceptual framework with seven layers that standardizes the functions of a communication system.,"osi, layers, seven, communication",Hard,The OSI model refers to a conceptual framework with seven layers that standardizes the functions of a communication system.,97.0,Excellent
OOP,GIVE A SHORT NOTE ON: WHAT IS ABSTRACTION IN OOP,Abstraction means hiding complex implementation details and showing only the necessary features of an object to the user.,"abstraction, hiding, details, features",Medium,"HONESTLY, ABSTRACTION MEANS HIDING COMPLEX IMPLEMENTATION DETAILS AND SHOWING ONLY THE NECESSARY FEATURES OF AN OBJECT TO THE USER.",94.0,Excellent
Python,What is the difference between deep copy and shallow copy?,"A shallow copy creates a new object but inserts references to the same nested objects, while a deep copy creates a new object and recursively copies all nested objects.","shallow, deep, copy, reference",Hard,"honestly, A copy creates a new object but inserts references to the nested objects, while a deep copy creates a new object and recursively copies all nested objects.",85.0,Excellent
DBMS,give a short note on: what is indexing in a database,Indexing is a data structure technique used to quickly locate and access data in a database without scanning every row.,"index, quickly, locate, data",Easy,"if I remember correctly, Indexing is a structure to and access a without scanning row. index",53.0,Average
Data Structures,Explain: What is a binary search tree?,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Easy,The weather has been nice lately.,9.0,Poor
DBMS,Explain: What is a foreign key?,A foreign key is a column that creates a link between two tables by referencing the primary key of another table.,"foreign, key, reference, link",Easy,foreign a that a between two tables by referencing primary table.,69.0,Good
OOP,Briefly explain what is an interface in OOP?,An interface is a contract that defines a set of methods a class must implement without providing the implementation itself.,"interface, contract, methods, implement",Medium,"so like, An interface is a contract which defines a set of methods a class must implement without providing the implementation itself.",93.0,Excellent
Computer Networks,Give a short note on: what is HTTP,"HTTP, or HyperText Transfer Protocol, is the application layer protocol used for transmitting web pages over the internet.","http, protocol, web, transfer",Hard,"as far as I know, HTTP, or HyperText Transfer Protocol, is the application layer protocol used for transmitting web pages over the internet.",91.0,Excellent
